permno,date,RET,PRC,SHROUT
10107,200503,-0.039348,24.17,10804353
10107,200504,0.046752,25.3,10804353
10107,200505,0.022925,25.8,10804353
10107,200506,-0.037209,24.84,10710000
10107,200507,0.030998,25.61,10710000
10107,200508,0.072237,27.38,10712706
10107,200509,-0.060263,25.73,10644674
10107,200510,-0.001166,25.7,10644674
10107,200511,0.080156,27.68,10644674
10107,200512,-0.055275,26.15,10333369
10107,200601,0.076482,28.15,10333369
10107,200602,-0.042273,26.87,10333369
10107,200603,0.012653,27.21,10225000
10107,200604,-0.112459,24.15,10201203
10107,200605,-0.058385,22.65,10201203
10107,200606,0.028698,23.3,10062000
10107,200607,0.032618,24.06,10062000
10107,200608,0.071904,25.7,9969992
10107,200609,0.064202,27.35,9820000
10107,200610,0.049726,28.71,9830460
10107,200611,0.026123,29.36,9830460
10107,200612,0.01703,29.86,9777000
10107,200701,0.03349,30.86,9792314
10107,200702,-0.083927,28.17,9792314
10107,200703,-0.01065,27.87,9572000
10107,200704,0.074273,29.94,9566808
10107,200705,0.028393,30.6901,9566808
10107,200706,-0.039756,29.47,9380000
10107,200707,-0.016288,28.99,9380000
10107,200708,-0.005519,28.73,9375492
10107,200709,0.025409,29.46,9355000
10107,200710,0.249491,36.81,9355439
10107,200711,-0.084216,33.6,9355439
10107,200712,0.059524,35.6,9329000
10107,200801,-0.08427,32.6,9306980
10107,200802,-0.162273,27.1999,9306980
10107,200803,0.043386,28.38,9310000
10107,200804,0.004933,28.52,9313293
10107,200805,-0.003156,28.32,9313293
10107,200806,-0.028602,27.51,9151000
10107,200807,-0.065067,25.72,9130293
10107,200808,0.065319,27.29,9130293
10107,200809,-0.021986,26.69,8977000
10107,200810,-0.163357,22.33,8895573
10107,200811,-0.08867,20.22,8895573
10107,200812,-0.038576,19.44,8889000
10107,200901,-0.12037,17.1,8890563
10107,200902,-0.047953,16.15,8890563
10107,200903,0.137461,18.37,8898000
10107,200904,0.102885,20.26,8899720
10107,200905,0.037512,20.89,8899720
10107,200906,0.137865,23.77,8908000
